あさ=morning
よる=evening;night
あさごはん=breakfast
ひるごはん=lunch
ばんごはん=dinner
いつも=everytime
ときどき=sometime
いま=now
それから=and then;after that
ごぜん=am
ごご=pm
げつようび=monday
かようび=tuesday
すいようび=wednesday
もくようび=thursday
きんようび=friday
どようび=saturday
にちようび=sunday
おととい=the day before yesterday
きのう=yesterday
きょう=today
あした=tomorrow
あさって=the day after tomorrow
月;がつ=month
ねん=year
せんしゅう=last week
こんしゅう=this week
らいしゅう=next week
せんげつ=last month
こんげつ=this month
らいげつ=next month
きょねん=last year
ことし=this year
らいねん=next year
まいこち=every day
たんじょうび=birthday
こんど=next time;sometime
これで=for now
しゅうまつ=weekend
じかん=time
