an Indian =un Indien
a caste =une caste
the caste system=le système des castes
discriminate on the basis of caste=discriminer en fonction de la caste
an untouchable =un intouchable
an arranged marriage=un mariage arrangé
non-violence=la non-violence
Kashmir =le Cachemire
Pakistan =1e Pakistan
the Ganges =le Gange
Hindi =l’Hindi 
the widespread use of English=l’usage répandu de l’anglais
Hinduism =l’hindouisme
a Hindu =un hindou
reincarnation =la réincarnation
present-day India =l’Inde d’aujourd’hui
a country of contrasts =un pays de contrastes
a place of poor farmers =un endroit où les paysans sont pauvres
a place of slum dwellers =un endroit où les gens habitent dans des taudis
place bedevilled by drought and floods =un endroit régulièrement victime de sécheresse et d’inondations
to change beyond recognition=devenir méconnaissable
the Indian nuclear programme=le programme nucléaire indien
to open up its economy =ouvrir son économie
to steal jobs from wealthy nations=prendre des emplois aux pays riches
to have cheap labour =avoir une main d’œuvre bon marché
to outsource work to India =externaliser du travail en Inde
to locate research labs in India =installer des laboratoires de recherche en Inde
a magnet for programmers =un pôle d’attraction pour les programmeurs
the back office of many banks =le back-office de nombreuses banques
the next knowledge superpower =la prochaine superpuissance de la connaissance
to chase China =être à la poursuite de la Chine
