childhood=l’enfance
a child=un enfant
children=des enfants 
adolescence; the teenage years=l’adolescence
an awkward age; a difficult age=un âge ingrat
an adolescent; a teenager; a teenage boy; a teenage girl=un adolescent; un ado
youth=la jeunesse
a gang of youths=une bande de jeunes
youth culture=la culture des jeunes
a young person=un jeune
the young; young people=les jeunes
the youth of today=la jeunesse d’aujourd’hui
today’s young people=les jeunes d’aujourd’hui
to grow up=grandir
to be still in one’s teens=ne pas encore avoir 20 ans
to be grown-up=être adulte
a grown-up; an adult=un adulte 
adulthood=l’âge adulte
maturity=la maturité
immaturity=l’immaturité
to be mature=être mûr
to be immature=être immature
the malaise in young people=le malaise des jeunes; le mal-être des jeunes
to feel good about oneself=se sentir bien dans sa peau
to feel bad about oneself=se sentir mal dans sa peau
teen violence; teenage violence=la violence des jeunes
truancy=l’absentéisme scolaire
juvenile delinquency=la délinquance juvénile
a latchkey kid=un enfant qui rentre chez lui avant ses parents
teenage suicide=le suicide des jeunes
teenage pregnancy =la grossesse des adolescentes
bulimia =la boulimie
to be bulimic =être boulimique
anorexia =l’anorexie
to be anorexic =être anorexique
to feel stressed =être stressé; être stressée
desperation =la désespérance
idleness =le désœuvrement
to have no points of reference=ne pas avoir de repères
to find one’s place in society=trouver sa place dans la société
to integrate into society; to integrate with society=s’insérer dans la société; s’intégrer dans la société
prejudice against young people; bias against young people=le racisme anti-jeunes
