だいがく=university
だいがくいんせい=graduate student
だいがくせい=university student
りゅうがくせい=overseas student
こうがく=engineering
せんきゅう=research
せんかく=study visit
じっけん=experiment
しせん=examination
せいせき=school record
じゅくだい=preparation
しゅくだい=homework
べんきょう=study
こうぎ=lecture
