to get married=se marier
to give birth=accoucher
to breastfeed a baby=allaiter un bébé
a feeding bottle=un biberon
a nappy (GB); a diaper (US)=une couche
disposable nappies=des couches jetables
to bring up a child=élever un enfant
to look after the children=s’occuper des enfants
to devote one’s life to the children=consacrer sa vie aux enfants
to do the cooking=faire la cuisine
to prepare the meals=préparer les repas
a refrigerator; a fridge=un réfrigérateur
a freezer =un congélateur
an oven =un four
a microwave; a microwave oven=un four à micro-ondes; un micro-ondes
a cooker (GB); a stove (US)=une cuisinière (l’appareil)
the sink=l’évier
to do the housework=faire le ménage
to do the cleaning=faire le nettoyage
to tidy the house=ranger la maison
to do the washing=faire la lessive
a washing machine=un lave-linge
to do the washing up=faire la vaisselle
a dishwasher=un lave-vaisselle
to do the ironing=faire le repassage
to iron=repasser
an iron=un fer à repasser
to do the hoovering=passer l’aspirateur
a vacuum cleaner=un aspirateur
to clean the windows=nettoyer les carreaux
a cloth=un chiffon
domestic appliances; household appliances=les appareils électroménagers
to share the domestic chores=partager les corvées ménagères
household tasks=les tâches ménagères
to do a room=faire une chambre
to make a bed=faire un lit
to go shopping=faire les courses
to take the children to school=emmener les enfants à l'école
to pick up the children from school=aller chercher les enfants à l’école
to put the children to bed=mettre les enfants au lit
to be tied to the house =être coincé à la maison 
