blue gold=l’or bleu
water needs =les besoins en eau
the water shortage; the water scarcity =la pénurie d’eau
a water-scarce area =une région qui manque d'eau
the lack of drinking water=le manque d’eau potable
to be thirsty=avoir soif
to die of thirst =mourir de soif
water is in short supply=on manque d’eau
water tables =les niveaux hydrostatiques
underground aquifers=les nappes aquifères
ground water =la nappe phréatique
seawater =l’eau de mer
fresh water =l’eau douce
a lake=un lac
a man-made lake =un lac artificiel
a river =un fleuve; une rivière
a stream =un cours d’eau
a brook =un ruisseau
wetlands =les zones humides
a marsh =un marécage
to shrink=diminuer; rétrécir
to dry up=s’assécher
the rainy season=la saison des pluies
rainwater=l’eau de pluie
drought=la sécheresse
drought-stricken countries=des pays frappés par la sécheresse
a flood =une inondation
irrigation =l’irrigation
a dam =un barrage
to dam a river =construire un barrage sur un fleuve
to store water =stocker de l’eau
a desalination plant =une usine de dessalement
to desalinate =dessaler
to reduce waste=réduire le gaspillage
to recycle water=recycler l’eau
to harvest rainwater=récupérer l’eau de pluie
water sharing=le partage de l’eau
a water war=une guerre de l’eau
water-related diseases=des maladies véhiculées par l’eau
to address the problem =s’attaquer au problème
