べんとう=boxed lunch
どん=bowl
ていしょく=set menu
やさい=vegetables
くだもの=fruits
りんご=apple
にく=meat
さかな=fish
パソ=bread
たまご=egg
ジュース=juice
ぎゅうにゅう=milk
おちゃ=tea
こうちゃ=black tea
コーヒー=coffee
ビール=beer
みず=water
さけ=alcohol
しお=salt
さとう=sugar
ハンバーガー=hamburger
チョコレート=chocolate
からあげ=fried chicken
やきざかな=grilled fish
ぶたにく=pork
とりにく=chicken
ぎゅうにく=beef
じゃがいも=potato
トマト=tomato
きゅうり=cucumber
フライ=deep fried food
ケーキ=cake
のみもの=beverage
たべもの=food
