えいが=movies
サイクリング=cycling
すいえい=swimming
どくしょ=reading
りょうり=cooking
おんがく=music
しゃしん=photography
やまのぼり=mountain climbing
りょこう=travelling
かいもの=shopping
ハイキング=hiking
さんぱ=walking
かんこう=sightseeing
はなび=fireworks
コンセート=concert
パーティー=party
