to be violent=être violent
an act of violence=un acte de violence
to use violence; to resort to violence=avoir recours à la violence
teen violence; teenage violence=la violence chez les jeunes
gun culture=la culture des armes
a felony=un crime; un forfait
to kill sb cold-bloodedly; to kill sb in cold blood=tuer qqn de sang-froid
to slaughter sb; to massacre sb=massacrer qqn
to open ﬁre on sb=ouvrir le feu sur qqn
to shoot sb=tuer qqn (avec une arme à feu)
to be gunned down=se faire descendre
to wound sb=blesser qqn
a gun; a firearm=une arme à feu
a handgun=un revolver
a riﬂe=un fusil
an automatic weapon; an automatic=une arme automatique
a gunfight=une fusillade
a school shooting; a school killing=une tuerie dans une école
a serial killer=un tueur en série
a gun manufacturer; a gun maker=un fabricant d’armes
to own a gun=posséder une arme
gun ownership=la détention d’une arme; la possession d’une arme
to carry a gun=porter une arme
to pull the trigger=appuyer sur la détente
to be trigger-happy=avoir la gâchette facile
the National Rifle Asociation; the NRA=l’Association nationale des détenteurs d’armes à feu (USA)
to take the law into one’s own hands=se faire justice soi-même
vigilantism=l’autodéfense
a vigilante=un justicier
self-defence=la légitime défense
to get even with sb=se venger de qqn
to avenge sb’s death=venger la mort de qqn
gun control=la limitation des armes
to be easily available; to be accessible=être facilement disponible
to outlaw guns; to ban gum=interdire les armes
to enforce the law=faire respecter la loi
law enforcement=le respect de la loi
a law-abiding citizen=un citoyen respectueux des lois
