work =le travail 
employment =l’emploi 
full employment =le plein emploi 
a job =an emploi, un travail 
a worker =un travailleur, un ouvrier 
the workforce; the labour force=la main-d’œuvre 
to work in shifts =faire les trois huit 
working conditions =les conditions de travail 
working hours =les horaires de travail 
a working day (GB); a work day (US) =un jour ouvrable; une journée de travail 
the 35-hour working week =la semaine de 35 heures 
the reduction in the working week=la réduction du temps de travail 
to work overtime; to do overtime=faire des heures supplémentaires 
absenteeism =l’absentéisme 
to work full time =travailler à plein temps
to work part time =travailler à mi temps 
a part-time worker; a part timer=un travailleur à mi temps 
a blue-collar worker =un travailleur manuel 
an unskilled worker =un ouvrier non qualifié 
a white-collar worker =un employé de bureau 
a temp =un intérimaire 
the staff turnover =le renouvellement du personnel 
job security =la sécurité de l’emploi 
employment prospects; job prospects=les perspectives d’emploi 
to find work; to find a job =trouver du travail 
a breadwinner =an soutien de famille 
a fixed-term contract =un CDD 
a permanent contract =un CDI 
on-the-job training =la formation sur le tas 
a civil servant; a state employee=un fonctionnaire 
a senior civil servant =un haut fonctionnaire 
the civil service =la fonction publique 
the public sector =le secteur public 
the private sector =le secteur privé 
a low-paid job =un emploi peu rémunéré 
a highly-paid job =un emploi bien rémunéré 
a responsible job; a job with responsibilities =un poste à responsabilités 
career prospects =les perspectives de carrières
a career track =un plan de carrière
