ところ=place
りょう=dormitory
いえ;うち=home
スーパー=supermarket
デパート=department store
ぎんこう=bank
ゆうびんきょく=post office
びょういん=hospital
としょかん=library (building)
学食;がくしょく=student cafeteria
せいきょう=co-op shop
ほんや=book shop
カメラや=electronic shop
くすりや=drig store
くやくしょ=ward office
くうこう=airport
たいしかん=embassy
びじゅつかん=art museum
どこも=nowhere
こうえん=park
じんじゃ=shrine
コンビニ=convenience store
こうばん=police box
きっさてん=coffee shop
へや=room
アパート=apartment
ちゅうしゃじょう=parking lot
だいどころ=kitchen
ひじょうぐち=emergency exit
コンピュータしつ=computer room
かいきしつ=conference room
きょうしつ=classroom
ロビー=lobby
じむしつ=office
こうぎしつ=lecture room
がくない=on campus
がくがい=off campus
ほんかん=main building
3ごうかん=building 3
しょくどう=cafeteria
たいいくかん=gymnasium
せいもん=main gate
いけ=pond
木;き=tree
山;やま=mountain
こうじょう=factory
(お)てら=temple
しゅと=capital
まち=town
川;かわ=river
はし=bridge
(お)しろ=castle
たてもの=building
ホテル=hotel
けしき=scenery
とかい=city
いなか=contryside
りょう=dormitory
