Unemployment; joblessness=le chômage
the unemployment rate=le taux de chômage
unemployment figures; unemployment statistics=les chiffres du chômage
to be unemployed; to be jobless; to be out of work; to be out of a job=être au chômage
the unemployed; the jobless=les chômeurs
an unemployed man=un chômeur
an unemployed woman=une chômeuse
the long-term unemployed=les chômeurs de longue durée
the job market; the labour market=le marché de l’emploi; le marché du travail
a job seeker; a job hunter=un demandeur d’emploi
to look for work; to look for a job=chercher du travail
to apply for a job=postuler pour un emploi
a job application=une demande d’emploi
a job applicant=un postulant à un emploi
a CV (GB); a résumé=un CV
a redundancy; a layoff=un licenciement pour raison économique
to be made redundant; to be laid off=être licencié pour raison économique
to be fired; to be sacked=être mis à la porte; être viré
job cuts=des suppressions d’emplois
to cut jobs; to axe jobs=supprimer des emplois
cutback in staff; staff cutback=une compression de personnel
to create jobs; to generate jobs=créer des emplois
a job creation scheme=un plan de création d’emplois
vocational training=la formation professionnelle
to be in training; to do training=être en formation
a placement=un stage
to be on probation=être à l’essai
a trainee=un stagiaire 
the job centre=l’agence pour l’emploi; l’ANPE
a steady job=un emploi stable
to be on the dole; to be on unemployment benefit (GB); to be on welfare (US)=toucher les allocations chômage
to be entitled to unemployment benefit=avoir droit aux allocations chômage
severance pay; redundancy payment=les indemnités de licenciement
youth unemployment=le chômage des jeunes
community work=des travaux d’utilité collective
odd jobs=les petits boulots
