cosmos=le cosmos 
outer space =l’espace intersidéral 
a galaxy =une galaxie 
a comet =une comète 
a crater =un cratère 
an asteroid =un astéroïde 
a black hole =un trou noir 
a supernova =une supernova 
a light year =une année lumière 
the solar system =le système solaire 
a space programme =un programme spatial 
NASA=la NASA 
the European Space Agency=l’Agence Spatiale européenne 
space science =l’astronautique
space exploration =l’exploration spatiale 
space projects =des projets spatiaux 
zero gravity; weightlessness=l’apesanteur 
the conquest of space =la conquête spatiale 
a rocket =une fusée 
a spaceship; a spacecraft =un vaisseau spatial 
a space station =une station spatiale 
a voyage to Mars; a journey to Mars=un voyage sur Mars 
to go on a space walk =faire une sortie dans l’espace
a space rendezvous =un rendez-vous dans l’espace
a space probe =une sonde spatiale 
a space shuttle =une navette spatiale 
a weather satellite =un satellite météorologique
the launch of a satellite =le lancement d’un satellite
a space flight =un vol spatial 
a manned flight=un vol habité
an unmanned flight=un vol inhabité
an astronaut=un astronaute
a cosmonaut=un cosmonaute
to go into orbit=se mettre en orbite
to be in orbit=être en orbite
to orbit Mars =orbiter autour de Mars 
a reconnaissance orbiter =un orbiteur de reconnaissance
to land on the moon =alunir; atterrir sur la lune 
the lunar surface =la surface de la lune 
an exploratory robot =un robot explorateur 
a rover =un véhicule lunaire 
space tourism =le tourisme spatial 
