a monarch=un monarque
a monarchist=un monarchiste
a sovereign=un souverain; une souveraine
sovereignty=la souveraineté
a crown=une couronne
a queen=une reine
a king=un roi
a prince=un prince
a princess=une princesse
a duke=un duc
a duchess=une duchesse
a marquis; a marquess=un marquis
a marchioness=une marquise
an earl=un comte (anglais)
a kingdom=un royaume
royalty; the royals=les membres de la famille royale
the royal family=la famille royale
the crown jewels=les joyaux de la couronne
Queen Elizabeth=la reine Elisabeth
Her Majesty=Sa Majesté
the changing of the Guards=la relève de la garde
to succeed sb=succéder à qqn
a successor=un successeur
to ascend the throne=monter sur le trône
the accession to the throne=l’accession au trône
the coronation=le couronnement
to reign=régner
to abdicate=abdiquer
abdication=l’abdication
a peer=un pair
a peeress=une pairesse
nobility=la noblesse
aristocracy=l’aristocratie
an aristocrat=un aristocrate
the Queen’s Speech=le discours du trône
a royal prerogative=une prérogative royale
to abolish the monarchy=abolir la monarchie
to restore one’s reputation=redorer son blason
to symbolize=symboliser
a purely symbolic role=un rôle purement symbolique
a symbol of unity=un symbole d’unité
to represent one’s country abroad=représenter son pays à l’étranger
the national anthem=l’hymne national
