でんわ=telephone
けいたい=mobile phone
ぺン=pen
ノート=notebook
本;ほん=book
ざっし=magazine
しんぶん=newspaper
じしょ=dictionary
とけい=clock;watch
カバン=bag
さいふ=wallet
ちず=map
かぎ=key
かさ=umbrella
プリント=handout
テレビ=TV
ビデオ=video
カメラ=kamera
パソコン=computer
くつ=shoes
しょうせつ=novel
せっけん=soap
歯ブラシ;はブラシ=toothbrush
つくえ=desk
いす=chair
シャワー=shower
エアコン=air conditionner
おふろ=bathtub
トイレ=toilet
はこ=box
ドア=door
れいぞうこ=refrigerator
くつした=socks
ベッド=bed
だな=shelf
ほんだな=bookshelf
テーブル=table
ごみばこ=trashbox
ホッチキス=stapler
はさみ=scissors
でんち=battery
ひきだし=drawer
エレベーター=elevator
え=drawing;painting
しゃしん=picture;photo
こうすい=perfume
えはがき=picture postcard
はがき=postcard
もの=thing
コート=coat
めがね=glasses
