a terrorist=un terroriste
a terrorist attack=un attentat
a terrorist group=un groupe terroriste
a terrorist organisation=une organisation terroriste
a terrorist cell=une cellule terroriste
an act of terrorism=un acte de terrorisme
to plant a bomb=poser une bombe
to detonate a bomb=faire exploser une bombe
a bomb attack=une attaque à la bombe
a wave of bombings=une vague d’attentats
a bomb scare=une alerte à la bombe
a bomb threat=une menace d’attentat
a bomb hoax=une fausse alerte (à la bombe)
a car bomb=une voiture piégée
a letter bomb=une lettre piégée
a parcel bomb=un colis piégé
a bomber=un poseur de bombes
a suicide bomber=un kamikaze
a suicide bombing=une attaque kamikaze
to blow up a plane=faire sauter un avion
to hijack a plane; to skyjack a plane=détourner un avion
a hijacker; a Skyjacker=un pirate de l’air
a plane hijacking=un détournement d’avion
a hostage=un otage
to be taken hostage=être pris en otage
to kill innocent people=tuer des innocents
to combat terrorism; to ﬁght terrorism=combattre le terrorisme
to eradicate terrorism; to wipe out terrorism=éradiquer le terrorisme
an anti-terrorist campaign=une campagne anti-terroriste
the war on terror; the war against terror=la lutte contre le terrorisme
to tighten security=renforcer la sécurité
to act in the name of Islam=agir au nom de l’Islam
an Islamic militant=un militant islamiste
a fundamentalist=un intégriste; un fondamentaliste
a fanatic; a zealot=un fanatique
an extremist=un extrémiste
to claim responsibility for an attack=revendiquer un attentat
to live with fear=vivre avec la peur
the plague of terrorism=le fléau du terrorisme
9/11=le 11 septembre
