modern medicine=la médecine moderne
medical research=la recherche médicale
cancer research=la recherche contre le cancer
to do research on; to carry out research into=faire des recherches sur
an advance=un progrès
a major breakthrough=une découverte capitale
to be on the horizon=être en vue
to make giant strides=avancer à pas de géant
a research team=une équipe de chercheurs
a researcher=un chercheur
a pioneer in the field of=un pionnier dans le domaine de
to pave the way for sth=ouvrir la voie à qqch
to discover=découvrir
a discovery=une découverte
to make a discovery=faire une découverte
a treatment=un traitement
to treat=traiter
a revolutionary technique=une technique révolutionnaire
state-of-the-art medicine=la médecine de pointe
open-heart surgery=la chirurgie à cœur ouvert
laser surgery=la chirurgie au laser
microsurgery=la micro-chirurgie
sophisticated surgical tools=des instruments chirurgicaux sophistiqués
a scanner=un scanner
to have an ultrasound scan=passer une échographie
to have an MRI=passer une IRM
to have a scan=passer un scanner
to have an X-ray=passer une radio
a diagnosis =un diagnostic
diagnoses=des diagnostics
to diagnose=diagnostiquer
preventive medicine=la médecine préventive
a screening test=un test de dépistage
an effective drug=un médicament efﬁcace
a wonder drug=un remède miracle
a vaccine=un vaccin
to vaccinate=vacciner
to be operated on=être opéré
a heart transplant=une transplantation cardiaque
a kidney transplant=une transplantation rénale
to eradicate a disease=éradiquer une maladie
to conquer a disease=vaincre une maladie
