a pro-globalizer =un mondialiste 
to go global; to globalize=se mondialiser 
the global village =le village planétaire 
the World Economic Forum=le Forum économique mondial 
an anti-globalizer =un anti-mondialiste 
global alternatives =l’alter-mondialisme 
ethical globalization=la mondialisation éthique 
growth =la croissance 
the market =le marché
liberalisation =la libéralisation 
competition =la concurrence 
privatisation=la privatisation
to privatise=privatiser 
deregulation =la déréglementation 
the deregulation of trade =la déréglementation des échanges commerciaux 
to deregulate =déréglementer 
to deregulate prices =libérer les prix 
price fixing =des ententes illicites sur les prix
decentralisation=la décentralisation
to decentralise=décentraliser 
the relocation of companies =la délocalisation des entreprises 
to relocate a company =délocaliser une entreprise 
to be relocated =être délocalisée
the outsourcing of a job=l’externalisation d’une activité 
a market economy =une économie de marché
liberalism =le libéralisme 
to protect poor people’s livelihoods=protéger les revenus des pauvres 
to preserve local identity =préserver l’identité locale 
to enrich cultural diversity =enrichir la diversité culturelle 
to have a slice of the cake =avoir sa part du gâteau 
to reap the benefits of one’s efforts=récolter les fruits de ses efforts 
sustainable development=le développement durable 
environmental protection =la protection de l’environnement 
social justice =la justice sociale 
to trade at a loss =vendre à perte
export premiums =des primes à l’exportation 
a subsidy =une subvention 
to subsidize =subventionner 
guarantees against falling prices=des garanties contre la baisse des prix
the removal of trade barriers=l’abolition des barrières douanières
