racial discrimination;the colour bar (GB); the color line (US)=la discrimination raciale
racial hatred=la haine raciale
incitement to racial hatred=incitation à la haine raciale
to do sth out of hatred=faire qqch par haine
racial segregation=la ségrégation raciale
racial prejudice;colour prejudice;racial bias=les préjugés raciaux
racial harassment=le harcèlement racial
racial tension=les tensions raciales
a racial attack; a racist attack=une attaque raciste
racial violence; racist violence=la violence raciste
a racist=un raciste
racist remarks=des remarques racistes
racist taunts=des provocations racistes
a racist slur=une insulte raciste
to advocate racism=prôner le racisme
to be discriminated against=être victime de discrimination
racially discriminatory laws=des lois racistes
to discriminate against sb=faire preuve de discrimination envers qqn
the fight against racism=la lutte contre le racisme
anti-Semitism=l’antisémitisme
an anti-Semite=un antisémite
an anti-Semitic remark=une remarque antisémite
a Jew=un Juif
to desecrate a grave=profaner une tombe
the desecration of a cemetery=la profanation d’un cimetière
a black=un Noir
an Afro-American=un Afro-Américain
the black problem in the USA=le problème noir aux États-Unis
black America=l’Amérique des Noirs
white America=l’Amérique des Blancs
a ghetto=un ghetto
ethnic minorities=les minorités ethniques
the end of apartheid=la fin de l’apartheid
racial integration; desegregation=l’intégration raciale
to integrate=pratiquer la déségrégation raciale
positive discrimination (GB); affirmative action (US)=la discrimination positive
to fight for equality=se battre pour l’égalité
a multiracial society=une société multiraciale
