to immigrate=immigrer
an immigrant=un immigré
to emigrate to the USA; to migrate to the USA=émigrer aux USA
to be attracted to a country=être attiré par un pays
a would-be immigrant=an candidat à l'immigration
to push sb to emigrate=pousser qqn à émigrer 
to flee a country=fuir un pays
to flee a regime=fuir un régime
to escape poverty=échapper à la pauvreté
to seek refuge from the war=chercher à fuir la guerre
to seek political asylum=chercher l’asile politique
to be in search of a better life=chercher une vie meilleure
the lure of well-paid jobs=l’attrait d’emplois bien rémunérés
to look for higher wages=chercher des salaires plus élevés
to make a fortune=faire fortune
to break with the past=rompre avec le passé
to start from scratch=partir de rien
to start anew=prendre un nouveau départ
to be faced with difficulties; to be confronted with difficulties=être confronté à des difficultés
to be exploited=être exploité
a sweatshop=un atelier clandestin
to overcome obstacles=surmonter les obstacles
the language barrier=la barrière de la langue
to integrate=s’intégrer
an immigration policy=une politique d’immigration
to seal one’s borders=fermer ses frontières
to stem the flow of immigrants=endiguer le flot des immigrés 
to impose quotas=imposer des quotas
to be turned away at the border=être refoulé à la frontière
to tighten border controls=renforcer les contrôles aux frontières
to be expelled from a country=être expulsé d'un pays
illegal immigration=l’immigration clandestine
an illegal immigrant; an illegal=un immigré clandestin
an illegal alien=un étranger clandestin
a stowaway=un passager clandestin 
a guest worker; a migrant worker=un travailleur immigré
the undocumented=les sans-papiers 
a smuggler=un passeur 
a fake passport=un faux passeport
to crack down on illegal immigration =réprimer immigration clandestine
