mercy killing =l’euthanasie 
passive euthanasia =l’euthanasie passive 
the right to die =le droit de mourir 
the right to a dignified death=le droit de mourir dignement 
doctor-assisted suicide =le suicide médicalement assisté 
a suicide doctor =un docteur qui pratique l’euthanasie
to be pro-euthanasia=être partisan de l’euthanasie 
mercy-killing foes =les adversaires de l’euthanasie
to practise out euthanasia; to carry out euthanasia=pratiquer l’euthanasie 
palliative care =les soins palliatifs 
to be terminally ill =être en phase terminale 
to be on a life support system =être sous assistance respiratoire
to unplug the life support system =débrancher le respirateur 
to be kept alive artificially =être maintenu en vie artificiellement
to prolong life needlessly =prolonger la vie inutilement
use of intensive medication to keep sb alive =l’acharnement thérapeutique 
a degrading treatment =un traitement dégradant 
to put an end to sb’s suffering =abréger les souffrances de qqn
to alleviate sb’s suffering =soulager les souffrances de qqn
to terminate a patient’s life =mettre fin à la vie d’un malade 
a pain killer =un calmant; un analgésique
to inject lethal drugs =administrer des médicaments mortels
to die peacefully =mourir paisiblement 
to die a painless death =mourir sans souffrir 
the decriminalisation of euthanasia=la dépénalisation de l’euthanasie
to legalise euthanasia =légaliser l’euthanasie
the termination of life =l’interruption de la vie 
an incurable disease =une maladie incurable 
to be forced fed =être alimenté de force 
to disconnect a feeding tube =débrancher un tube d’alimentation
to withhold tube feeding =arrêter l’alimentation artificielle
to have three months to live =avoir trois mois à vivre 
to be in a persistent vegetative state=être dans un état végétatif persistant
to be permanently bedridden =être grabataire 
to be in a coma =être dans le coma 
to be clinically dead =être cliniquement mort 
to be allowed to decide for oneself=être autorisé à décider soi-même
a living will =un testament de vie 
to be ethically wrong =être contraire à la morale
